原始电压	原始电流	处理后的电压	处理后的电流	用于拟合tafel点的横坐标	用于拟合tafel点的纵坐标	拟合直线的横坐标	拟合直线的纵坐标
0.3999958	0.3014356	0.3999958	0.3014356	nan	nan	-1.20274408	0.2752802699
0.4049804	0.3085136	0.4049804	0.3085136	nan	nan	-1.200936524	0.2754713369
0.4099991	0.3241152	0.4099991	0.3241152	nan	nan	-1.199128968	0.2756624039
0.4149823	0.3388971	0.4149823	0.3388971	nan	nan	-1.197321412	0.2758534709
0.4199667	0.3412962	0.4199667	0.3412962	nan	nan	-1.195513856	0.2760445379
0.4249938	0.3685206	0.4249938	0.3685206	nan	nan	-1.193706299	0.2762356049
0.4299755	0.3781915	0.4299755	0.3781915	nan	nan	-1.191898743	0.2764266719
0.4349949	0.3843457	0.4349949	0.3843457	nan	nan	-1.190091187	0.276617739
0.4399791	0.3979653	0.4399791	0.3979653	nan	nan	-1.188283631	0.276808806
0.4450014	0.4038513	0.4450014	0.4038513	nan	nan	-1.186476075	0.276999873
0.4499879	0.4174709	0.4499879	0.4174709	nan	nan	-1.184668519	0.27719094
0.4549706	0.4304349	0.4549706	0.4304349	nan	nan	-1.182860963	0.277382007
0.4599907	0.4617274	0.4599907	0.4617274	nan	nan	-1.181053406	0.277573074
0.4649725	0.4877746	0.4649725	0.4877746	nan	nan	-1.17924585	0.277764141
0.4699972	0.5010068	0.4699972	0.5010068	nan	nan	-1.177438294	0.277955208
0.4749827	0.5058348	0.4749827	0.5058348	nan	nan	-1.175630738	0.278146275
0.4799991	0.5239248	0.4799991	0.5239248	nan	nan	-1.173823182	0.278337342
0.4849865	0.5260855	0.4849865	0.5260855	nan	nan	-1.172015626	0.2785284091
0.4899704	0.5915165	0.4899704	0.5915165	nan	nan	-1.17020807	0.2787194761
0.4949934	0.5803853	0.4949934	0.5803853	nan	nan	-1.168400514	0.2789105431
0.4999766	0.5842447	0.4999766	0.5842447	nan	nan	-1.166592957	0.2791016101
0.5049999	0.5738884	0.5049999	0.5738884	nan	nan	-1.164785401	0.2792926771
0.5099821	0.6005913	0.5099821	0.6005913	nan	nan	-1.162977845	0.2794837441
0.5149987	0.59852	0.5149987	0.59852	nan	nan	-1.161170289	0.2796748111
0.5199876	0.6111562	0.5199876	0.6111562	nan	nan	-1.159362733	0.2798658781
0.5249712	0.6144792	0.5249712	0.6144792	nan	nan	-1.157555177	0.2800569451
0.5299907	0.6220192	0.5299907	0.6220192	nan	nan	-1.155747621	0.2802480122
0.5349762	0.7110685	0.5349762	0.7110685	nan	nan	-1.153940064	0.2804390792
0.5399938	0.7057935	0.5399938	0.7057935	nan	nan	-1.152132508	0.2806301462
0.5449831	0.7157624	0.5449831	0.7157624	nan	nan	-1.150324952	0.2808212132
0.5499957	0.7076561	0.5499957	0.7076561	nan	nan	-1.148517396	0.2810122802
0.5549881	0.7266551	0.5549881	0.7266551	nan	nan	-1.14670984	0.2812033472
0.5599689	0.718832	0.5599689	0.718832	nan	nan	-1.144902284	0.2813944142
0.5649903	0.7374436	0.5649903	0.7374436	nan	nan	-1.143094728	0.2815854812
0.5699794	0.7585436	0.5699794	0.7585436	nan	nan	-1.141287171	0.2817765482
0.5749946	0.8451641	0.5749946	0.8451641	nan	nan	-1.139479615	0.2819676153
0.5799825	0.8349419	0.5799825	0.8349419	nan	nan	-1.137672059	0.2821586823
0.5849967	0.8785874	0.5849967	0.8785874	nan	nan	-1.135864503	0.2823497493
0.5899892	0.9173453	0.5899892	0.9173453	nan	nan	-1.134056947	0.2825408163
0.5949743	0.9213537	0.5949743	0.9213537	nan	nan	-1.132249391	0.2827318833
0.599987	0.9376854	0.599987	0.9376854	nan	nan	-1.130441835	0.2829229503
0.6049812	0.9626895	0.6049812	0.9626895	nan	nan	-1.128634279	0.2831140173
0.6099942	0.981465	0.6099942	0.981465	nan	nan	-1.126826722	0.2833050843
0.6149836	1.000568	0.6149836	1.000568	nan	nan	-1.125019166	0.2834961513
0.6200023	1.007169	0.6200023	1.007169	nan	nan	-1.12321161	0.2836872184
0.6249826	1.021132	0.6249826	1.021132	nan	nan	-1.121404054	0.2838782854
0.6299753	1.11413	0.6299753	1.11413	nan	nan	-1.119596498	0.2840693524
0.6349869	1.121715	0.6349869	1.121715	nan	nan	-1.117788942	0.2842604194
0.6399798	1.149163	0.6399798	1.149163	nan	nan	-1.115981386	0.2844514864
0.6449945	1.169041	0.6449945	1.169041	nan	nan	-1.114173829	0.2846425534
0.6499782	1.22261	0.6499782	1.22261	nan	nan	-1.112366273	0.2848336204
